season,teamId,abbr,cityState,fullName,nick,conferenceAbbr,divisionAbbr
2014,2120,HOU,Houston,Houston Texans,Texans,AFC,ACS
2014,2200,IND,Indianapolis,Indianapolis Colts,Colts,AFC,ACS
2014,2250,JAX,Jacksonville,Jacksonville Jaguars,Jaguars,AFC,ACS
2014,2310,KC,Kansas City,Kansas City Chiefs,Chiefs,AFC,ACW
2014,2510,STL,St. Louis,St. Louis Rams,Rams,NFC,NCW
2014,2520,OAK,Oakland,Oakland Raiders,Raiders,AFC,ACW
2014,2700,MIA,Miami,Miami Dolphins,Dolphins,AFC,ACE
2014,3000,MIN,Minnesota,Minnesota Vikings,Vikings,NFC,NCN
2014,3200,NE,New England,New England Patriots,Patriots,AFC,ACE
2004,2120,HOU,Houston,Houston Texans,Texans,AFC,ACS
2004,2200,IND,Indianapolis,Indianapolis Colts,Colts,AFC,ACS
2004,2250,JAX,Jacksonville,Jacksonville Jaguars,Jaguars,AFC,ACS
2004,2310,KC,Kansas City,Kansas City Chiefs,Chiefs,AFC,ACW
2004,2510,STL,St. Louis,St. Louis Rams,Rams,NFC,NCW
2004,2520,OAK,Oakland,Oakland Raiders,Raiders,AFC,ACW
2004,2700,MIA,Miami,Miami Dolphins,Dolphins,AFC,ACE
2004,3000,MIN,Minnesota,Minnesota Vikings,Vikings,NFC,NCN
2004,3200,NE,New England,New England Patriots,Patriots,AFC,ACE
2004,3300,NO,New Orleans,New Orleans Saints,Saints,NFC,NCS
2004,3410,NYG,New York Giants,New York Giants,Giants,NFC,NCE
2004,3430,NYJ,New York Jets,New York Jets,Jets,AFC,ACE
2004,3700,PHI,Philadelphia,Philadelphia Eagles,Eagles,NFC,NCE
2004,3800,ARI,Arizona,Arizona Cardinals,Cardinals,NFC,NCW
2004,3900,PIT,Pittsburgh,Pittsburgh Steelers,Steelers,AFC,ACN
2004,4400,SD,San Diego,San Diego Chargers,Chargers,AFC,ACW
2004,4500,SF,San Francisco,San Francisco 49ers,49ers,NFC,NCW
2004,4600,SEA,Seattle,Seattle Seahawks,Seahawks,NFC,NCW
2004,4900,TB,Tampa Bay,Tampa Bay Buccaneers,Buccaneers,NFC,NCS
2004,5110,WAS,Washington,Washington Redskins,Redskins,NFC,NCE
2005,200,ATL,Atlanta,Atlanta Falcons,Falcons,NFC,NCS
2005,325,BAL,Baltimore,Baltimore Ravens,Ravens,AFC,ACN
2005,610,BUF,Buffalo,Buffalo Bills,Bills,AFC,ACE
2005,750,CAR,Carolina,Carolina Panthers,Panthers,NFC,NCS
2005,810,CHI,Chicago,Chicago Bears,Bears,NFC,NCN
2005,920,CIN,Cincinnati,Cincinnati Bengals,Bengals,AFC,ACN
2005,1050,CLE,Cleveland,Cleveland Browns,Browns,AFC,ACN
2005,1200,DAL,Dallas,Dallas Cowboys,Cowboys,NFC,NCE
2005,1400,DEN,Denver,Denver Broncos,Broncos,AFC,ACW
2005,1540,DET,Detroit,Detroit Lions,Lions,NFC,NCN
2005,1800,GB,Green Bay,Green Bay Packers,Packers,NFC,NCN
2005,2100,TEN,Tennessee,Tennessee Titans,Titans,AFC,ACS
2005,2120,HOU,Houston,Houston Texans,Texans,AFC,ACS
2005,2200,IND,Indianapolis,Indianapolis Colts,Colts,AFC,ACS
2005,2250,JAX,Jacksonville,Jacksonville Jaguars,Jaguars,AFC,ACS
2005,2310,KC,Kansas City,Kansas City Chiefs,Chiefs,AFC,ACW
2005,2510,STL,St. Louis,St. Louis Rams,Rams,NFC,NCW
2005,2520,OAK,Oakland,Oakland Raiders,Raiders,AFC,ACW
2005,2700,MIA,Miami,Miami Dolphins,Dolphins,AFC,ACE
2005,3000,MIN,Minnesota,Minnesota Vikings,Vikings,NFC,NCN
2005,3200,NE,New England,New England Patriots,Patriots,AFC,ACE
2005,3300,NO,New Orleans,New Orleans Saints,Saints,NFC,NCS
